position_m,T_cold_C,H_cold_J_kg,quality,phase,h_cold_W_m2K,dpdz_Pa_m,dx_m
0.0,420.0000000000001,3245426.5882744356,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.05,420.48756027165075,3246604.685519532,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.1,420.9753047143653,3247782.782764628,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.15000000000000002,421.46323213640824,3248960.8800097243,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.2,421.9513413517325,3250138.9772548205,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.25,422.4396311799626,3251317.0744999168,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.30000000000000004,422.92810044637156,3252495.171745013,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.35000000000000003,423.41674798185386,3253673.268990109,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.4,423.90557262290895,3254851.3662352054,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.45,424.3945732116148,3256029.4634803017,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.5,424.8837485956053,3257207.560725398,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.55,425.3730976280525,3258385.657970494,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.6000000000000001,425.86261916763635,3259563.7552155904,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.65,426.35231207852826,3260741.8524606866,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.7000000000000001,426.842175230369,3261919.949705783,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.75,427.3322074982394,3263098.046950879,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.8,427.8224077626469,3264276.1441959753,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.8500000000000001,428.31277490949424,3265454.2414410715,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.9,428.80330783006366,3266632.3386861677,1.0,superheated,4225.071079546253,10880.709244227412,0.05
0.9500000000000001,429.2940054209927,3267810.435931264,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.0,429.78486658424686,3268988.53317636,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.05,430.2758902271054,3270166.6304214564,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.1,430.7670752621327,3271344.7276665526,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.1500000000000001,431.25842060715684,3272522.824911649,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.2000000000000002,431.74992518524937,3273700.922156745,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.25,432.24158792470155,3274879.0194018413,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.3,432.73340775900033,3276057.1166469376,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.35,433.22538362680905,3277235.213892034,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.4000000000000001,433.7175144719429,3278413.31113713,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.4500000000000002,434.2097992433478,3279591.4083822262,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.5,434.7022368950745,3280769.5056273225,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.55,435.1948263862648,3281947.6028724187,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.6,435.6875666811177,3283125.700117515,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.6500000000000001,436.18045674887867,3284303.797362611,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.7000000000000002,436.67349556380736,3285481.8946077074,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.75,437.1666821051633,3286659.9918528036,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.8,437.66001535717874,3287838.0890979,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.85,438.15349430904064,3289016.186342996,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.9000000000000001,438.64711795486244,3290194.2835880923,1.0,superheated,4225.071079546253,10880.709244227412,0.05
1.9500000000000002,439.1408852936695,3291372.3808331885,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.0,439.63479532937254,3292550.4780782848,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.0500000000000003,440.12884707074693,3293728.575323381,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.1,440.62303953140815,3294906.672568477,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.15,441.1173717297962,3296084.7698135735,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.2,441.61184268914724,3297262.8670586697,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.25,442.1064514374759,3298440.964303766,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.3000000000000003,442.6011970075522,3299619.061548862,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.35,443.096078436878,3300797.1587939584,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.4000000000000004,443.59109476767094,3301975.2560390546,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.45,444.08624504683473,3303153.353284151,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.5,444.58152832594567,3304331.450529247,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.5500000000000003,445.0769436612255,3305509.5477743433,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.6,445.57249011352394,3306687.6450194395,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.6500000000000004,446.0681667482934,3307865.7422645357,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.7,446.56397263557164,3309043.839509632,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.75,447.0599068499571,3310221.936754728,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.8000000000000003,447.55596847058973,3311400.0339998244,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.85,448.0521565811305,3312578.1312449207,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.9000000000000004,448.5484702697373,3313756.228490017,1.0,superheated,4225.071079546253,10880.709244227412,0.05
2.95,449.04490862904674,3314934.325735113,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.0,449.5414707561513,3316112.4229802093,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.0500000000000003,450.0381557525815,3317290.5202253056,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.1,450.5349627242799,3318468.617470402,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.1500000000000004,451.0318907815865,3319646.714715498,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.2,451.5289390392114,3320824.8119605943,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.25,452.0261066162202,3322002.9092056905,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.3000000000000003,452.5233926360097,3323181.0064507867,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.35,453.020796226288,3324359.103695883,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.4000000000000004,453.5183165190548,3325537.200940979,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.45,454.0159526505821,3326715.2981860754,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.5,454.51370376138914,3327893.3954311716,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.5500000000000003,455.01156899622697,3329071.492676268,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.6,455.5095475040591,3330249.589921364,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.6500000000000004,456.0076384380337,3331427.6871664603,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.7,456.5058409554737,3332605.7844115566,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.75,457.0041542178476,3333783.881656653,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.8000000000000003,457.5025773907579,3334961.978901749,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.85,458.0011096439126,3336140.0761468452,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.9000000000000004,458.49975015111283,3337318.1733919415,1.0,superheated,4225.071079546253,10880.709244227412,0.05
3.95,458.9984980902292,3338496.2706370377,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.0,459.4973526431829,3339674.367882134,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.05,459.9963129959268,3340852.46512723,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.1000000000000005,460.49537833842487,3342030.5623723264,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.15,460.99454786463264,3343208.6596174226,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.2,461.4938207724788,3344386.756862519,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.25,461.993196263846,3345564.854107615,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.3,462.4926735445513,3346742.9513527113,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.3500000000000005,462.99225182432565,3347921.0485978075,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.4,463.4919303167966,3349099.1458429038,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.45,463.99170823946815,3350277.243088,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.5,464.4915848137026,3351455.340333096,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.55,464.99155926470155,3352633.4375781924,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.6000000000000005,465.49163082148596,3353811.5348232887,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.65,465.9917987168792,3354989.632068385,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.7,466.4920621874875,3356167.729313481,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.75,466.9924204736807,3357345.8265585774,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.800000000000001,467.49287281954594,3358523.9238036736,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.8500000000000005,467.9934184729891,3359702.02104877,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.9,468.49405668552924,3360880.118293866,1.0,superheated,4225.071079546253,10880.709244227412,0.05
4.95,468.9947867124074,3362058.2155389623,1.0,superheated,4225.071079546253,10880.709244227412,0.05
