node,x_m,T_hot_C,T_cold_C,dQ_W,U_W_m2K,h_hot_W_m2K,h_cold_W_m2K,Re_hot,Re_cold
1,0.01,749.9447732761353,400.07021550029924,429.9144796279706,19549.43679273668,2527861.0011206185,1321392.5341368208,20324910.843174987,95259317.41071293
2,0.02,749.8895663252396,400.14040587711156,429.76054752593154,19549.443706153754,2527842.8608231978,1321429.0774899542,20325684.560861174,95253644.59663732
3,0.03,749.8343791402489,400.21057113867744,429.6066704225337,19549.45061775285,2527824.7261740025,1321465.613062856,20326458.071807776,95247974.33947565
4,0.04,749.7792117141017,400.28071129323666,429.45284829904824,19549.45752753254,2527806.5971715325,1321502.1408479263,20327231.376048364,95242306.63817748
5,0.05,749.724064039739,400.35082634902824,429.2990811367508,19549.46443549142,2527788.4738142947,1321538.6608375937,20328004.47361654,95236641.49169344
6,0.06,749.668936110104,400.42091631429,429.14536891692035,19549.47134162806,2527770.356100792,1321575.1730242542,20328777.364545867,95230978.89896367
7,0.07,749.6138279181425,400.4909811972593,428.9917116208408,19549.47824594107,2527752.244029531,1321611.6774004332,20329550.048869956,95225318.85894772
8,0.08,749.5587394568025,400.56102100617227,428.8381092297998,19549.485148429038,2527734.1375990147,1321648.173958601,20330322.526622415,95219661.37059054
9,0.09,749.5036707190346,400.63103574926424,428.6845617250888,19549.492049090557,2527716.0368077476,1321684.6626912414,20331094.797836855,95214006.43283564
10,0.1,749.4486216977916,400.7010254347697,428.5310690880042,19549.498947924243,2527697.941654235,1321721.1435908978,20331866.862546902,95208354.04463285
11,0.11,749.3935923860289,400.77099007092215,428.3776312998458,19549.505844928706,2527679.8521369845,1321757.6166501234,20332638.720786203,95202704.20492947
12,0.12,749.3385827767041,400.8409296659544,428.2242483419184,19549.512740102575,2527661.7682545003,1321794.0818615197,20333410.3725884,95197056.91267733
13,0.13,749.2835928627775,400.9108442280981,428.07092019552977,19549.519633444455,2527643.6900052857,1321830.5392176656,20334181.817987133,95191412.16681992
14,0.14,749.2286226372114,400.9807337655842,427.91764684199285,19549.526524952984,2527625.6173878517,1321866.9887111618,20334953.05701611,95185769.96630058
15,0.15,749.1736720929708,401.05059828664264,427.7644282626242,19549.533414626792,2527607.550400699,1321903.4303346903,20335724.08970895,95180130.3100729
16,0.16,749.118741223023,401.1204377995024,427.61126443874485,19549.540302464517,2527589.4890423384,1321939.864080889,20336494.916099373,95174493.19707872
17,0.17,749.0638300203377,401.1902523123915,427.4581553516795,19549.547188464796,2527571.433311272,1321976.2899424483,20337265.536221046,95168858.62626468
18,0.18,749.008938477887,401.26004183353723,427.30510098275806,19549.55407262629,2527553.383206011,1322012.7079120986,20338035.950107697,95163226.59658076
19,0.19,748.9540665886453,401.3298063711658,427.15210131331355,19549.560954947647,2527535.33872506,1322049.1179825603,20338806.157793034,95157597.10697103
20,0.2,748.8992143455897,401.3995459335024,426.99915632468344,19549.567835427515,2527517.299866926,1322085.5201465716,20339576.15931077,95151970.15637839
21,0.21,748.8443817416994,401.46926052877154,426.84626599820996,19549.574714064573,2527499.266630118,1322121.9143969384,20340345.954694636,95146345.74375412
22,0.22,748.7895687699561,401.5389501651965,426.69343031523874,19549.581590857473,2527481.2390131415,1322158.3007264093,20341115.543978382,95140723.86803475
23,0.23,748.7347754233438,401.60861485099997,426.54064925712026,19549.588465804904,2527463.217014506,1322194.6791278624,20341884.927195743,95135104.52817616
24,0.24,748.680001694849,401.67825459440326,426.38792280520875,19549.595338905536,2527445.2006327165,1322231.049594113,20342654.10438047,95129487.72311875
25,0.25,748.6252475774606,401.74786940362696,426.2352509408627,19549.602210158053,2527427.189866286,1322267.4121180128,20343423.075566363,95123873.45180568
26,0.26,748.5705130641699,401.81745928689077,426.0826336454452,19549.609079561138,2527409.1847137176,1322303.7666924421,20344191.840787165,95118261.7131808
27,0.27,748.5157981479704,401.8870242524133,425.93007090032273,19549.615947113492,2527391.185173525,1322340.1133103478,20344960.400076713,95112652.506196
28,0.28,748.4611028218583,401.9565643084121,425.777562686867,19549.622812813814,2527373.1912442124,1322376.4519646189,20345728.753468733,95107045.82978895
29,0.29,748.4064270788319,402.026079463104,425.6251089864533,19549.6296766608,2527355.202924293,1322412.78264821,20346496.900997095,95101441.68290482
30,0.3,748.3517709118922,402.09556972470466,425.4727097804614,19549.636538653165,2527337.2202122724,1322449.105354119,20347264.842695568,95095840.06449258
31,0.31,748.2971343140424,402.1650351014289,425.32036505027486,19549.64339878961,2527319.243106662,1322485.4200753008,20348032.578597996,95090240.97348939
32,0.32,748.242517278288,402.2344756014903,425.1680747772822,19549.650257068868,2527301.27160597,1322521.7268047985,20348800.108738203,95084644.40884432
33,0.33,748.187919797637,402.3038912331018,425.0158389428756,19549.65711348965,2527283.3057087073,1322558.0255356347,20349567.43315006,95079050.36949895
34,0.34,748.1333418651,402.3732820044751,424.86365752845165,19549.663968050692,2527265.3454133845,1322594.3162608573,20350334.551867362,95073458.85439534
35,0.35000000000000003,748.0787834736896,402.4426479238209,424.7115305154112,19549.670820750718,2527247.39071851,1322630.5989735478,20351101.46492403,95067869.86247715
36,0.36,748.0242446164209,402.5119889993491,424.55945788515953,19549.677671588477,2527229.441622596,1322666.873666848,20351868.172353886,95062283.39269552
37,0.37,747.9697252863116,402.58130523926843,424.40743961910556,19549.684520562692,2527211.498124152,1322703.140333802,20352634.674190838,95056699.44398
38,0.38,747.9152254763815,402.6505966517867,424.2554756986633,19549.691367672134,2527193.5602216893,1322739.3989676044,20353400.97046877,95051118.01528288
39,0.39,747.860745179653,402.71986324511056,424.10356610525014,19549.698212915537,2527175.6279137195,1322775.6495614138,20354167.06122157,95045539.1055463
40,0.4,747.8062843891508,402.78910502744577,423.9517108202886,19549.705056291663,2527157.7011987525,1322811.892108403,20354932.946483146,95039962.71371102
41,0.41000000000000003,747.7518430979021,402.858322006997,423.7999098252049,19549.711897799276,2527139.7800753005,1322848.1266017705,20355698.62628742,95034388.83871855
42,0.42,747.6974212989362,402.92751419196804,423.6481631014296,19549.71873743713,2527121.864541875,1322884.3530347405,20356464.100668296,95028817.47951096
43,0.43,747.643018985285,402.9966815905615,423.4964706303977,19549.725575204015,2527103.9545969884,1322920.5714005844,20357229.369659726,95023248.63503493
44,0.44,747.5886361499828,403.0658242109789,423.34483239354836,19549.732411098696,2527086.0502391523,1322956.7816925554,20357994.43329565,95017682.30423018
45,0.45,747.5342727860663,403.13494206142093,423.193248372325,19549.739245119952,2527068.151466878,1322992.9839039352,20358759.291610025,95012118.48603746
46,0.46,747.4799288865743,403.20403515008707,423.0417185481756,19549.746077266573,2527050.258278681,1323029.178028038,20359523.944636803,95006557.17939974
47,0.47000000000000003,747.4256044445483,403.27310348517585,422.8902429025519,19549.752907537346,2527032.370673071,1323065.3640581926,20360288.392409947,95000998.3832583
48,0.48,747.3712994530322,403.3421470748848,422.73882141691047,19549.75973593107,2527014.4886485627,1323101.5419877558,20361052.63496346,94995442.09655628
49,0.49,747.317013905072,403.41116592741025,422.58745407271164,19549.766562446533,2526996.6122036683,1323137.7118100782,20361816.672331303,94989888.3182314
50,0.5,747.2627477937164,403.48016005094746,422.4361408514206,19549.77338708255,2526978.7413369007,1323173.873518573,20362580.504547473,94984337.04722866
51,0.51,747.208501112016,403.54912945369085,422.2848817345067,19549.78020983793,2526960.8760467754,1323210.0271066483,20363344.131646,94978788.28248899
52,0.52,747.1542738530244,403.6180741438335,422.1336767034431,19549.78703071148,2526943.0163318045,1323246.1725677508,20364107.553660877,94973242.02295579
53,0.53,747.1000660097972,403.68699412956767,421.98252573970797,19549.793849702026,2526925.162190501,1323282.3098953136,20364870.770626128,94967698.26756662
54,0.54,747.0458775753923,403.7558894190844,421.8314288247832,19549.80066680838,2526907.3136213813,1323318.439082809,20365633.78257579,94962157.0152621
55,0.55,746.9917085428702,403.82476002057365,421.68038594015536,19549.80748202938,2526889.47062296,1323354.56012374,20366396.58954392,94956618.26498458
56,0.56,746.9375589052938,403.89360594222444,421.5293970673153,19549.814295363853,2526871.633193749,1323390.6730116096,20367159.191564534,94951082.0156729
57,0.5700000000000001,746.8834286557283,403.9624271922246,421.378462187758,19549.821106810636,2526853.801332264,1323426.7777399784,20367921.588671707,94945548.26627225
58,0.58,746.829317787241,404.0312237787608,421.22758128298295,19549.82791636857,2526835.9750370225,1323462.8743023698,20368683.780899525,94940017.01571743
59,0.59,746.7752262929022,404.0999957100188,421.07675433449407,19549.834724036504,2526818.1543065365,1323498.9626923837,20369445.768282022,94934488.26295327
60,0.6,746.7211541657839,404.16874299418305,420.92598132379936,19549.841529813286,2526800.3391393237,1323535.0429036203,20370207.550853334,94928962.00692105
61,0.61,746.6671013989609,404.2374656394371,420.7752622324113,19549.848333697773,2526782.5295338994,1323571.1149296798,20370969.12864752,94923438.24655834
62,0.62,746.6130679855103,404.30616365396327,420.6245970418466,19549.85513568882,2526764.725488777,1323607.1787641884,20371730.50169869,94917916.98080324
63,0.63,746.5590539185114,404.37483704594285,420.4739857336266,19549.861935785295,2526746.9270024756,1323643.2344008207,20372491.670040965,94912398.20859939
64,0.64,746.505059191046,404.4434858235561,420.32342828927653,19549.86873398607,2526729.134073509,1323679.281833256,20373252.63370844,94906881.92888741
65,0.65,746.4510837961984,404.512109994982,420.1729246903261,19549.87553029001,2526711.346700397,1323715.3210551688,20374013.39273529,94901368.1406032
66,0.66,746.3971277270551,404.58070956839833,420.0224749183098,19549.882324696,2526693.564881655,1323751.3520602894,20374773.947155625,94895856.84268937
67,0.67,746.3431909767049,404.6492845519821,419.8720789547662,19549.889117202918,2526675.7886157962,1323787.3748423576,20375534.297003563,94890348.03408617
68,0.68,746.2892735382393,404.7178349539088,419.7217367812379,19549.895907809652,2526658.01790134,1323823.389395099,20376294.44231329,94884841.71372809
69,0.6900000000000001,746.2353754047517,404.7863607823531,419.5714483792726,19549.9026965151,2526640.2527368087,1323859.39571236,20377054.383119013,94879337.88056722
70,0.7000000000000001,746.1814965693383,404.8548620454884,419.42121373042164,19549.909483318148,2526622.493120712,1323895.3937878641,20377814.119454816,94873836.53353034
71,0.71,746.1276370250973,404.9233387514871,419.27103281624096,19549.916268217698,2526604.7390515716,1323931.3836154498,20378573.651354942,94868337.67156105
72,0.72,746.0737967651297,404.9917909085202,419.1209056182911,19549.923051212663,2526586.990527905,1323967.3651889528,20379332.978853554,94862841.29359895
73,0.73,746.0199757825385,405.06021852475783,418.970832118137,19549.929832301947,2526569.2475482323,1324003.3385022439,20380092.101984877,94857347.39858629
74,0.74,745.9661740704291,405.1286216083687,418.8208122973474,19549.93661148446,2526551.5101110684,1324039.3035491616,20380851.020783104,94851855.98545587
75,0.75,745.9123916219096,405.1970001675206,418.6708461374961,19549.943388759122,2526533.778214934,1324075.2603236386,20381609.735282436,94846367.05315393
76,0.76,745.85862843009,405.2653542103801,418.52093362016103,19549.95016412486,2526516.0518583474,1324111.2088195584,20382368.245517116,94840880.60061423
77,0.77,745.804884488083,405.3336837451126,418.3710747269244,19549.956937580595,2526498.3310398255,1324147.1490308489,20383126.551521353,94835396.62677503
78,0.78,745.7511597890034,405.40198877988234,418.2212694393731,19549.963709125266,2526480.615757892,1324183.0809514956,20383884.65332944,94829915.13058142
79,0.79,745.6974543259687,405.47026932285235,418.071517739098,19549.970478757805,2526462.9060110627,1324219.0045754465,20384642.550975576,94824436.11096789
80,0.8,745.6437680920984,405.5385253821846,417.92181960769494,19549.977246477152,2526445.201797859,1324254.9198967079,20385400.244494054,94818959.56687622
81,0.81,745.5901010805147,405.6067569660398,417.7721750267635,19549.98401228225,2526427.5031168004,1324290.8269092676,20386157.733919106,94813485.49724124
82,0.8200000000000001,745.536453284342,405.6749640825776,417.6225839779081,19549.990776172046,2526409.8099664054,1324326.7256071642,20386915.019285027,94808013.9010033
83,0.8300000000000001,745.4828246967069,405.7431467399563,417.4730464427376,19549.9975381455,2526392.122345198,1324362.6159844534,20387672.10062612,94802544.77710254
84,0.84,745.4292153107386,405.81130494633305,417.32356240286504,19550.004298201566,2526374.440251694,1324398.4980351985,20388428.977976646,94797078.12447666
85,0.85,745.3756251195688,405.87943870986396,417.1741318399082,19550.01105633921,2526356.763684419,1324434.3717534803,20389185.651370935,94791613.94206323
86,0.86,745.3220541163311,405.94754803870387,417.02475473548895,19550.017812557395,2526339.0926418887,1324470.2371334247,20389942.120843265,94786152.22880428
87,0.87,745.2685022941616,406.0156329410064,416.8754310712336,19550.024566855085,2526321.4271226297,1324506.0941691236,20390698.386428002,94780692.98363255
88,0.88,745.2149696461992,406.08369342492404,416.7261608287732,19550.031319231268,2526303.767125159,1324541.942854758,20391454.44815942,94775236.20549302
89,0.89,745.1614561655846,406.151729498608,416.57694398974263,19550.03806968491,2526286.112648,1324577.7831844476,20392210.306071874,94769781.8933163
