node,x_m,T_hot_C,T_cold_C,dQ_W,U_W_m2K,h_hot_W_m2K,h_cold_W_m2K,Re_hot,Re_cold
1,0.40546289062499996,747.7607612902077,402.84697797180297,17431.43676314996,19549.43679273668,2527861.0011206185,1321392.5341368208,20324910.843174987,95259317.41071293
2,0.8109257812499999,745.5540297956273,405.6526290360508,17178.36905347539,19549.717616359238,2527124.7993961005,1322878.415514205,20356338.70129231,95029730.53918365
3,1.2163886718749999,743.3793344847588,408.4175075980004,16928.968716001433,19549.995323997806,2526397.917390977,1324350.8628500246,20387424.052313663,94804335.63574933
4,1.6218515624999998,741.2362108573949,411.14216503213845,16683.18488750319,19550.269838113523,2525680.254160688,1325809.4433208085,20418169.21533354,94583060.78183769
5,2.027314453125,739.1242008825303,413.82714928396683,16440.967188680894,19550.541093267537,2524971.709343719,1327253.7775351624,20448576.533499196,94365833.89351964
6,2.4327773437499998,737.0428529343345,416.4730045152256,16202.265739221933,19550.80903501759,2524272.1831786097,1328683.5351021555,20478648.372474447,94152582.91709146
7,2.8382402343749997,734.9917217264526,419.0802707886485,15967.031170796923,19551.073618910083,2523581.5765196644,1330098.4305637286,20508387.118955586,93943235.99983117
8,3.2437031249999997,732.9703682448774,421.64948378869803,15735.214638177544,19551.334809559216,2522899.7908515106,1331498.2196599909,20537795.179237537,93737721.63872285
9,3.6491660156249996,730.9783596796096,424.1811745750475,15506.767828646918,19551.592579805583,2522226.728302526,1332882.695898607,20566874.97782769,93535968.80954967
10,4.05462890625,729.0152693553086,426.6758693658645,15281.642969858289,19551.846909947253,2521562.2916572476,1334251.68740242,20595628.956105597,93337907.07854223
11,4.460091796875,727.0806766611113,429.134089348217,15059.792836283974,19552.097787036986,2520906.384367791,1335605.0540114543,20624059.571026403,93143466.69847542
12,4.8655546874999995,725.1741669797864,431.55635051315926,14841.17075438391,19552.345204239817,2520258.9105643486,1336942.6846180276,20652169.29386635,92952578.69097626
13,5.271017578124999,723.2953316163728,433.94316351327257,14625.730606611984,19552.5891602458,2519619.775064851,1338264.494715168,20679960.609008875,92765174.9165354
14,5.6764804687499995,721.4437677264365,436.2950335406325,14413.426834367732,19552.829658733113,2518988.8833837826,1339570.4241408033,20707436.01276931,92581188.13364437
15,6.081943359375,719.6190782440697,438.61246022335354,14204.214439991698,19553.066707877144,2518366.141740266,1340860.4350010415,20734598.0122573,92400552.04820411
16,6.487406249999999,717.8208718097438,440.89593753902443,13998.048987894213,19553.300319901708,2517751.4570654016,1342134.5097583218,20761449.124275126,92223201.3544
17,6.892869140624999,716.0487626981169,443.1459537434955,13794.886604899373,19553.530510668617,2517144.737008947,1343392.64947027,20787991.87425105,92049071.76790152
18,7.298332031249999,714.3023707458859,445.36299131361443,13594.683979879122,19553.757299302502,2516545.8899453455,1344634.872167435,20814228.795206204,91878100.05235118
19,7.703794921875,712.5813212797676,447.5475269026274,13397.398362745587,19553.98070784769,2515954.824979153,1345861.2113583551,20840162.426754113,91710224.0398646
20,8.1092578125,710.8852450446818,449.70003130707744,13202.9875628642,19554.200760954627,2515371.4519498874,1347071.7146517995,20865795.31413173,91545382.64626542
21,8.514720703124999,709.2137781322042,451.8209694441299,13011.409946944497,19554.4174855931,2514795.681436354,1348266.4424866464,20891130.007260997,91383515.88165317
22,8.92018359375,707.5665619093488,453.9108003383494,12822.624436460743,19554.630910790227,2514227.424760435,1349445.4669608814,20916169.05984002,91224564.85687335
23,9.325646484375,705.9432429477355,455.9699771170366,12636.59050464995,19554.841067390935,2513666.5939904186,1350608.8707517623,20940915.02846306,91068471.78637666
24,9.731109374999999,704.3434729531897,457.9989470133098,12453.268173130826,19555.04798783913,2513113.101943848,1351756.746119961,20965370.47176824,90915179.98791331
25,10.136572265624999,702.7669086958198,459.99815137618737,12272.618008183397,19555.251705977844,2512566.862189958,1352889.1939910552,20989537.94961265,90764633.87945704
26,10.542035156249998,701.213211940609,461.9680256869883,12094.601116725678,19555.45225686668,2512027.7890516724,1354006.3231083166,21013420.022273466,90616778.97371322
27,10.947498046875,699.6820493785583,463.9089995814312,11919.179142020594,19555.649676615165,2511495.7976072407,1355108.2492510944,21037019.249675054,90471561.87050678
28,11.352960937499999,698.1730925584104,465.82149687686,11746.314259143568,19555.84400223072,2510970.8036914747,1356195.0945139686,21060338.190640792,90328930.2473749
29,11.758423828124998,696.6860178189816,467.7059356040787,11575.969170238566,19556.03527147995,2510452.7238966464,1357266.9866416643,21083379.402169216,90188832.848566
30,12.16388671875,695.2205062221259,469.56272804331707,11408.10709958786,19556.223522762186,2509941.475573061,1358324.0584155612,21106145.438734107,90051219.47269142
31,12.569349609375,693.7762434863528,471.39228076389406,11242.6917885189,19556.40879499432,2509436.976829285,1359366.4470879547,21128638.85160722,89916040.95924924
32,12.974812499999999,692.352919921116,473.19499466717946,11079.687490169286,19556.591127505857,2508939.146532098,1360394.2938601386,21150862.188203886,89783249.17415154
33,13.380275390624998,690.9502303617897,474.9712650324915,10919.058964129435,19556.770559943478,2508447.9043061403,1361407.7434011698,21172817.99145034,89652796.99444813
34,13.785738281249998,689.5678741053448,476.7214815655964,10760.77147098042,19556.947132184287,2507963.1705332957,1362406.943404203,21194508.79917259,89524638.2923832
35,14.191201171874999,688.2055548467381,478.44602844950646,10604.79076674328,19557.12088425696,2507484.866351806,1363392.0441775583,21215937.14350598,89398727.91891077
36,14.596664062499999,686.8629806160226,480.1452843972986,10451.083097254519,19557.29185627025,2507012.913655147,1364363.1982676866,21237105.55032531,89275021.6867456
37,15.002126953124998,685.539863716187,481.8196227066983,10299.615192481227,19557.460088348147,2506547.2350906655,1365320.5601120258,21258016.538694788,89153476.35311323
38,15.40758984375,684.2359206617311,483.46941131619735,10150.35426078813,19557.62562057121,2506087.7540579825,1366264.2857191532,21278672.620337352,89034049.60222639
39,15.813052734374999,682.9508721179814,485.0950128624936,10003.26798316777,19557.78849292356,2505634.3947072057,1367194.532374422,21299076.29912303,88916700.02760479
40,16.218515625,681.6844428411498,486.6967847390574,9858.324507443964,19557.94874524496,2505187.081936914,1368111.4583689212,21319230.0705758,88801387.11426264
41,16.623978515624998,680.4363616191399,488.275079155649,9715.49244245789,19558.10641718776,2504745.74139196,1369015.222750445,21339136.421398398,88688071.2208941
42,17.029441406249997,679.2063612130986,489.83024319862466,9574.740852245235,19558.261548178107,2504310.299461099,1369905.9850943584,21358797.82901508,88576713.56202877
