cell,x_hot_mid_m,x_cold_mid_m,h_hot_W_m2K,h_cold_W_m2K,U_W_m2K,q_W,q_flux_W_m2,T_wall_hot_side_C,T_wall_cold_side_C,T_wall_mean_C,dP_hot_Pa,dpdz_cold_Pa_m,dP_cold_cell_Pa,cold_cumulative_dP_kPa,f_hot,f_cold,Re_hot,Re_cold,Re_cold_liquid,Re_cold_vapor,phi_f2_cold,X_cold,cold_two_phase_dp_model,cold_correlation,cold_temperature_change
0,0.025,4.975,17748.040510498817,72785.1456287864,5126.01499682448,193.24621267679763,102520.29993766676,294.2235707726187,281.4085332804103,287.8160520265145,90.79324480772134,42062.975442090996,2103.14877210455,2.10314877210455,0.015016381014292852,0.009700579445452424,197099.16410747083,1131762.2193407116,1131762.2193407116,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
1,0.07500000000000001,4.925000000000001,17741.827960870505,72790.4517565896,5125.522941169215,190.79693274952484,101220.91657952935,294.0796202536968,281.42700568125565,287.7533129674763,90.75931231535114,42065.263604330234,2103.263180216512,4.206411952321062,0.015020011625513802,0.009700158213247559,196908.66331704066,1131958.8205667818,1131958.8205667818,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
2,0.125,4.875,17735.70711277183,72795.69684451369,5125.0379678314885,188.37728174798045,99937.25185468586,293.9373838995475,281.44522741771175,287.69130565862963,90.7259185399248,42067.52546083792,2103.376273041896,6.309788225362958,0.015023596657224894,0.009699742130164588,196720.77990135932,1132153.0604613805,1132153.0604613805,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
3,0.17500000000000002,4.825000000000001,17729.67634565296,72800.88158208247,5124.559956459258,185.98694350517192,98669.1380313373,293.79684415813904,281.4632019042218,287.6300230311805,90.69305384957454,42069.76129661777,2103.4880648308886,8.413276290193846,0.015027136669324958,0.00969933113324175,196535.47569709606,1132344.9668903714,1132344.9668903714,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
4,0.225,4.775,17723.734077918085,72806.00665256577,5124.088789498287,183.6256039149211,97416.40847098059,293.65798356616085,281.48093250728823,287.56945803672454,90.66070881200294,42071.9713944817,2103.598569724085,10.51687485991793,0.015030632214719683,0.009698925160210136,196352.71317580764,1132534.5674389706,1132534.5674389706,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
5,0.275,4.725,17717.87876563646,72811.07273299384,5123.624352101237,181.2929509650053,96178.89764599063,293.5207847519257,281.4984225461769,287.5096036490513,90.62887418963967,42074.156035039734,2103.7078017519866,12.620582661669918,0.01503408383942948,0.00969852414948849,196172.45543055574,1132721.8894131193,1132721.8894131193,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
6,0.32500000000000007,4.675000000000001,17712.10890130669,72816.08049417345,5123.166532040449,178.98867476802792,94956.44115599748,293.38523043812233,281.5156752936226,287.45045286587253,90.59754093493586,42076.31549669173,2103.8157748345866,14.724398436504504,0.015037492082694365,0.009698128040177785,195994.6661629103,1132906.9598409724,1132906.9598409724,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
7,0.375,4.625,17706.423012670442,72821.03060070405,5122.715219624161,176.71246759024612,93748.87574318006,293.25130344440606,281.53269397650854,287.3919987104573,90.56670018578967,42078.450055618756,2103.922502780938,16.828320939285444,0.01504085747707647,0.009697736772056032,195819.30967030203,1133089.8054743167,1133089.8054743167,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
8,0.42500000000000004,4.575,17700.819661574096,72825.92371099394,5122.27030761602,174.46402387841744,92556.03930650865,293.1189866898585,281.5494817765449,287.33423423320176,90.53634326110087,42080.559985775864,2104.027999288793,18.932348938574236,0.015044180548559891,0.009697350285572942,195646.3508337276,1133270.45279006,1133270.45279006,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
9,0.475,4.525,17695.297442877705,72830.7604772847,5121.831691157966,172.24304028465147,91377.77091492913,292.9882631953053,281.5660418309392,287.27715251312225,90.50646165645401,42082.64555888774,2104.132277944387,21.036481216518624,0.015047461816647534,0.009696968521844275,195475.75510582177,1133448.9279919097,1133448.9279919097,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
