cell,x_position,x_mid_m,T_hot,T_cold,T_sat,T_wall_hot,T_wall_cold,DeltaT_actual,DeltaT_ONB,ONB_margin,quality,Bo,RLL,P_reduced,rho_l,rho_g,sigma,G,h_fg,q_flux,x_di_raw,x_di,cold_region,h_single_phase,h_subcooled,h_hot,h_cold,P_hot,P_cold,h_hot_W_m2K,h_cold_W_m2K,U_W_m2K,q_W,q_flux_W_m2,T_hot_C,T_cold_C,x,CHF_region,T_wall_hot_C,T_wall_cold_C,T_sat_C,T_wall,R_wall_K_W,R_wall_area_m2K_W,wall_deltaT_conduction_C,dpdz_hot_Pa_m,dpdz_cold_Pa_m,dP_hot_cell_Pa,dP_cold_cell_Pa,cold_cumulative_dP_Pa,cold_cumulative_dP_kPa,phi2,Martinelli_X,cold_heat_transfer_correlation,pressure_drop_correlation
0,0.25926,0.25926,570.0908092277723,529.9999999999991,548.7349899924135,559.995474380766,539.3459535938979,-9.3890363985156,0.6462711301562808,-10.035307528671881,0.0,,,,,,,,,165196.1662949448,,,Single Phase Liquid,17675.688696206023,,16363.614362324402,17675.688696206023,14918506.854981042,6000000.0,16363.614362324402,17675.688696206023,4120.549559286619,3229.212281435576,165196.1662949448,296.9408092277723,256.8499999999991,0.0,pre_CHF,286.84547438076606,266.1959535938979,275.5849899924135,266.1959535938979,0.0055188353233266915,0.000125,20.6495207868681,1528.3870406755022,2015.2571506825393,792.4992483310614,1044.9511377719102,0.0,0.0,1.0,,Dittus-Boelter liquid,Darcy-Weisbach single-phase
1,0.7777799999999999,0.7777799999999999,570.4244776690864,533.651204908406,548.7241139941015,561.1553547575469,542.1858468676694,-6.538267126432061,0.6189849431593258,-7.157252069591387,0.0,,,,,,,,,151756.0631190198,,,Single Phase Liquid,17781.186819947012,,16372.2139157408,17781.186819947012,14919299.354229374,5998955.048862228,16372.2139157408,17781.186819947012,4126.803292887334,2966.488592303654,151756.0631190198,297.2744776690864,260.50120490840607,0.0,pre_CHF,288.0053547575469,269.0358468676694,275.5741139941015,269.0358468676694,0.0055188353233266915,0.000125,18.969507889877473,1529.2302384388313,2022.3435647779365,792.9364632353028,1048.6255852086556,1044.9511377719102,1.0449511377719103,1.0,,Dittus-Boelter liquid,Darcy-Weisbach single-phase
2,1.2963,1.2963,570.7305923204148,536.973855447593,548.7132366109604,562.2140660212118,544.7763366308333,-3.936899980127123,0.593051447136521,-4.529951427263644,0.0,,,,,,,,,139501.83512302855,,,Single Phase Liquid,17879.163287529416,,16380.133193046655,17879.163287529416,14920092.290692609,5997906.4232770195,16380.133193046655,17879.163287529416,4132.5628021630355,2726.9460869799245,139501.83512302855,297.5805923204148,263.823855447593,0.0,pre_CHF,289.06406602121183,271.6263366308333,275.5632366109604,271.6263366308333,0.0055188353233266915,0.000125,17.437729390378568,1530.0084402983478,2029.2764874517961,793.3399764634993,1052.2204442735053,2093.576722980566,2.093576722980566,1.0,,Dittus-Boelter liquid,Darcy-Weisbach single-phase
3,1.8148199999999999,1.8148199999999999,571.0116446954514,540.0004313212766,548.7023578425836,563.1811980427411,547.1410865402645,-1.5612713023191418,0.5683939747541065,-2.129665277073248,0.0,,,,,,,,,128320.89201981334,,,Single Phase Liquid,17970.4646260741,,16387.42944189503,17970.4646260741,14920885.630669072,5996854.202832746,16387.42944189503,17970.4646260741,4137.886849879754,2508.38387941349,128320.89201981334,297.86164469545145,266.8504313212766,0.0,pre_CHF,290.03119804274115,273.9910865402645,275.55235784258366,273.9910865402645,0.0055188353233266915,0.000125,16.04011150247667,1530.7268402256093,2036.015148526171,793.7124811937829,1055.7145748137903,3145.7971672540716,3.1457971672540714,1.0,,Dittus-Boelter liquid,Darcy-Weisbach single-phase
4,2.3333399999999997,2.3333399999999997,571.2698807775251,542.7599779526078,548.6914776885642,565.7557163948595,554.4557083184586,5.764230629894428,0.4755301640840877,5.28870046581034,0.0,,,,,,,,,90400.06461120743,,,Subcooled Boiling,18055.784403977665,7729.321879303667,16394.154823419925,7729.321879303667,14921679.343150266,5995798.4882579325,16394.154823419925,7729.321879303667,3170.830331003395,1767.1172729509872,90400.06461120743,298.11988077752517,269.6099779526078,0.0,pre_CHF,292.60571639485954,281.30570831845864,275.5414776885642,281.30570831845864,0.0055188353233266915,0.000125,11.30000807640093,1531.3902197862687,2042.5302302266857,794.0564567635761,1059.092774977141,4201.511742067862,4.201511742067861,1.0,,Subcooled boiling h_tp = psi*h_sp_l,Darcy-Weisbach single-phase
5,2.85186,2.85186,571.4516668879277,544.6894509262146,548.6805961484952,565.7489196122528,554.059075209794,5.378479061298776,0.4838704470918437,4.894608614206932,0.0,,,,,,,,,93518.75521967116,,,Subcooled Boiling,18116.822593854715,9981.05712558464,16398.895251518148,9981.05712558464,14922473.399607029,5994739.3954829555,16398.895251518148,9981.05712558464,3494.4324249330552,1828.080636936493,93518.75521967116,298.3016668879277,271.5394509262146,0.0,pre_CHF,292.59891961225287,280.90907520979397,275.5305961484952,280.90907520979397,0.0055188353233266915,0.000125,11.689844402458895,1531.8586379097349,2047.3066580482985,794.2993409289556,1061.5694483312036,5260.6045170450025,5.260604517045002,1.0,,Subcooled boiling h_tp = psi*h_sp_l,Darcy-Weisbach single-phase
6,3.37038,3.37038,571.6395697559701,546.6724239846145,548.6697132219695,565.5239110897917,552.9838997419707,4.314186520001272,0.5015452767082083,3.812641243293063,0.0,,,,,,,,,100320.09078256726,,,Subcooled Boiling,18180.8962537943,15894.870651390987,16403.808037451345,15894.870651390987,14923267.698947959,5993677.826034624,16403.808037451345,15894.870651390987,4018.0840734171084,1961.031399792911,100320.09078256726,298.48956975597014,273.52242398461453,0.0,pre_CHF,292.3739110897917,279.83389974197075,275.5197132219695,279.83389974197075,0.0055188353233266915,0.000125,12.540011347820908,1532.3446198064735,2052.4129617163576,794.5513322620526,1064.2171689091656,6322.173965376206,6.322173965376206,1.0,,Subcooled boiling h_tp = psi*h_sp_l,Darcy-Weisbach single-phase
7,3.8888999999999996,3.8888999999999996,571.8409586840917,548.6588289085796,548.6588289085796,565.4860402397738,552.4512374541087,3.7924085455290424,0.5115868075400267,3.2808217379890157,0.00041671183420961323,4.1983276922198417e-05,21.444835767630753,0.27160141447001107,758.1294305038912,30.779382341679078,0.019855034803275988,1580.899425960735,1571136.3492244792,104278.42228532172,0.8463163384595274,0.8463163384595274,Saturated Boiling,18246.47193753006,,16409.0889913089,27496.621483004135,14924062.25028022,5992613.608865715,16409.0889913089,27496.621483004135,4498.22442092762,2038.4078485893453,104278.42228532172,298.6909586840917,275.50882890857963,0.00041671183420961323,pre_CHF,292.33604023977387,279.3012374541087,275.50882890857963,279.3012374541087,0.0055188353233266915,0.000125,13.034802785665216,1532.8675918322613,2057.448172288573,794.822503716864,1066.828026295071,7386.391134285372,7.386391134285372,1.0005895557614146,153.1304495395955,Shah boiling,Mishima-Hibiki
8,4.40742,4.40742,572.0501010742091,548.6479432079182,548.6479432079182,565.6146833014498,552.4103406837403,3.7623974758221266,0.515020734751186,3.2473767410709407,0.007708576354834724,4.252752469968336e-05,21.159511289148494,0.2715530629459767,758.1481915365578,30.77380286611717,0.019857571646107696,1580.899425960735,1571203.451041974,105634.74094167574,0.8457065362274627,0.8457065362274627,Saturated Boiling,18246.120549110787,,16414.589490804883,28076.443709232168,14924857.072783938,5991546.78083942,16414.589490804883,28076.443709232168,4513.888913373864,2064.920817751225,105634.74094167574,298.90010107420915,275.4979432079182,0.007708576354834724,pre_CHF,292.4646833014498,279.2603406837403,275.4979432079182,279.2603406837403,0.0055188353233266915,0.000125,13.204342617709468,1533.4129456335784,2046.5695071553268,795.105280569923,1061.18722085018,8453.219160580442,8.453219160580442,1.0081470384562048,17.352993364591608,Shah boiling,Mishima-Hibiki
9,4.92594,4.92594,572.2617661931677,548.6261676431486,548.6261676431486,565.7469382189494,552.3751131884708,3.748945545322158,0.518393210160251,3.230552335161907,0.015129357121498262,4.306326060229792e-05,20.8863138939721,0.2715049670784617,758.1857168598801,30.762644631737754,0.019862646358396324,1580.899425960735,1571337.6641796737,106974.60024382826,0.8451044930152999,0.8451044930152999,Saturated Boiling,18245.771001447738,,16420.172668743893,28534.58364507548,14925652.178064508,5990485.59361857,16420.172668743893,28534.58364507548,4525.994973956016,2091.1120436794445,106974.60024382826,299.1117661931677,275.47616764314864,0.015129357121498262,pre_CHF,292.5969382189494,279.2251131884708,275.47616764314864,279.2251131884708,0.0055188353233266915,0.000125,13.371825030478533,1533.967168518866,2042.9938629087626,795.3926562204024,1059.3331777954515,9514.406381430621,9.514406381430621,1.0197202320730405,9.554315025807849,Shah boiling,Mishima-Hibiki
